*Line, ����Ͽ�糧~ĵ����500kV��·����,SZJ
*Parts,18
*Part, Head, 1,     SZJ双回路直线转角塔右�?      S2701S-T0307-01
*Node,56
         1,   1442.857143,   1442.857143,  58690.476190
     104,      54,      29,     -0.000000,     -0.000000,      1.000000,  Q345,     L70x5
     105,      36,      49,      1.000000,      0.000000,      0.000000,  Q345,     L56x5
     106,      49,       3,      1.000000,      0.000000,      0.000000,  Q345,     L56x5
     107,      36,       3,      1.000000,      0.000000,      0.000000,  Q345,     L56x5
     108,       3,       4,      1.000000,      0.000000,      0.000000,  Q345,     L63x5
     109,       4,      49,     -1.000000,     -0.000000,     -0.000000,  Q345,    L180x6
     110,      49,      21,     -1.000000,     -0.000000,     -0.000000,  Q345,    L180x6
     111,      21,      36,      1.000000,      0.000000,      0.000000,  Q345,     L63x5
     112,      20,      37,     -0.112390,      0.000000,      0.993664,  Q345,     L70x5
     113,      22,      50,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x5
     114,      50,      35,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x5
     115,      22,      38,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
     116,      23,      51,      0.112390,     -0.000000,     -0.993664,  Q345,     L63x5
     117,      51,      37,      0.112390,     -0.000000,     -0.993664,  Q345,     L63x5
     118,      23,      39,     -0.112390,      0.000000,      0.993664,  Q345,     L70x5
     119,      24,      52,      0.112390,     -0.000000,     -0.993664,  Q345,     L70x5
     120,      52,      38,      0.112390,     -0.000000,     -0.993664,  Q345,     L70x5
     121,      24,      36,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
     122,      21,      53,      0.112390,     -0.000000,     -0.993664,  Q345,     L63x5
     123,      53,      39,      0.112390,     -0.000000,     -0.993664,  Q345,     L63x5
     124,      30,      36,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x4
     125,      30,      40,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
     126,      31,      40,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
